#EN          DATA        DATA-ERR    
#EV          B           B           
4.2762e+02  6.2300e+00  3.9995e-02  
4.2958e+02  6.1021e+00  3.9781e-02  
4.3155e+02  6.1512e+00  3.9615e-02  
4.3353e+02  6.1430e+00  3.9633e-02  
4.3553e+02  6.0979e+00  3.9639e-02  
4.3754e+02  6.0960e+00  3.9454e-02  
4.3957e+02  6.1115e+00  3.9487e-02  
4.4161e+02  6.1315e+00  3.9468e-02  
4.4366e+02  6.0907e+00  3.9279e-02  
4.4573e+02  6.0862e+00  3.9220e-02  
4.4781e+02  6.1309e+00  3.9203e-02  
4.4991e+02  5.9737e+00  3.8863e-02  
4.5202e+02  6.0920e+00  3.9057e-02  
4.5415e+02  6.0657e+00  3.8834e-02  
4.5629e+02  5.9988e+00  3.8580e-02  
4.5845e+02  6.1135e+00  3.8880e-02  
4.6062e+02  5.9924e+00  3.8668e-02  
4.6281e+02  5.9903e+00  3.8475e-02  
4.6502e+02  5.8921e+00  3.8342e-02  
4.6724e+02  5.9293e+00  3.8386e-02  
4.6947e+02  5.9967e+00  3.8216e-02  
4.7172e+02  5.9556e+00  3.8327e-02  
4.7399e+02  5.9178e+00  3.8029e-02  
4.7628e+02  5.9179e+00  3.7848e-02  
4.7858e+02  5.8363e+00  3.7702e-02  
4.8090e+02  5.8502e+00  3.7766e-02  
4.8323e+02  5.8129e+00  3.7585e-02  
4.8558e+02  5.7823e+00  3.7382e-02  
4.8795e+02  5.8012e+00  3.7497e-02  
4.9034e+02  5.8217e+00  3.7453e-02  
4.9274e+02  5.8087e+00  3.7372e-02  
4.9516e+02  5.7324e+00  3.7198e-02  
4.9760e+02  5.7156e+00  3.6945e-02  
5.0006e+02  5.6750e+00  3.6883e-02  
5.0254e+02  5.6950e+00  3.6862e-02  
5.0503e+02  5.6665e+00  3.6737e-02  
5.0754e+02  5.5685e+00  3.6377e-02  
5.1008e+02  5.6499e+00  3.6458e-02  
5.1263e+02  5.5762e+00  3.6176e-02  
5.1520e+02  5.5652e+00  3.6164e-02  
5.1779e+02  5.4171e+00  3.5988e-02  
5.2039e+02  5.4707e+00  3.5849e-02  
5.2302e+02  5.4270e+00  3.5740e-02  
5.2567e+02  5.3687e+00  3.5590e-02  
5.2834e+02  5.2803e+00  3.5380e-02  
5.3103e+02  5.3221e+00  3.5291e-02  
5.3374e+02  5.1627e+00  3.4929e-02  
5.3647e+02  5.1466e+00  3.4909e-02  
5.3922e+02  5.1413e+00  3.4618e-02  
5.4199e+02  5.0082e+00  3.4397e-02  
5.4479e+02  4.9757e+00  3.4313e-02  
5.4760e+02  4.8952e+00  3.3918e-02  
5.5044e+02  4.8433e+00  3.3810e-02  
5.5330e+02  4.7412e+00  3.3514e-02  
5.5618e+02  4.7276e+00  3.3411e-02  
5.5909e+02  4.6634e+00  3.3194e-02  
5.6106e+02  4.7747e+00  5.6234e-02  
5.6209e+02  4.6534e+00  5.6075e-02  
5.6312e+02  4.8851e+00  5.6865e-02  
5.6415e+02  4.9968e+00  5.7378e-02  
5.6519e+02  5.0636e+00  5.7435e-02  
5.6623e+02  5.2711e+00  5.8733e-02  
5.6727e+02  5.7287e+00  6.0636e-02  
5.6831e+02  6.2188e+00  6.3370e-02  
5.6936e+02  7.1095e+00  6.7901e-02  
5.7041e+02  8.6112e+00  7.7046e-02  
5.7147e+02  1.0711e+01  9.4015e-02  
5.7252e+02  1.4923e+01  1.4218e-01  
5.7396e+02  2.2871e+01  2.5351e-01  
5.7578e+02  3.0878e+01  6.0036e-01  
5.7762e+02  3.0429e+01  5.8063e-01  
5.7946e+02  3.3210e+01  8.7459e-01  
5.8131e+02  3.6248e+01  1.4010e+00  
5.8317e+02  3.5291e+01  1.2415e+00  
5.8504e+02  2.7112e+01  3.8769e-01  
5.8692e+02  2.1474e+01  2.1320e-01  
5.8880e+02  1.7347e+01  1.3820e-01  
5.9070e+02  1.5294e+01  1.1236e-01  
5.9260e+02  1.3701e+01  9.4632e-02  
5.9452e+02  1.2349e+01  8.2745e-02  
5.9644e+02  1.1485e+01  7.6318e-02  
5.9837e+02  1.0797e+01  7.1459e-02  
6.0031e+02  1.0270e+01  6.7752e-02  
6.0292e+02  9.8385e+00  5.0202e-02  
6.0620e+02  9.2678e+00  4.7475e-02  
6.0950e+02  8.8945e+00  4.6071e-02  
6.1284e+02  8.5383e+00  4.4530e-02  
6.1620e+02  8.2305e+00  4.3423e-02  
6.1959e+02  8.1372e+00  4.2774e-02  
6.2300e+02  7.8752e+00  4.1847e-02  
6.2645e+02  7.7867e+00  4.1474e-02  
6.2992e+02  7.6149e+00  4.0746e-02  
6.3342e+02  7.5008e+00  4.0337e-02  
6.3695e+02  7.4286e+00  4.0080e-02  
6.4051e+02  7.2938e+00  3.9452e-02  
6.4410e+02  7.2378e+00  3.9379e-02  
6.4609e+02  7.2294e+00  1.2502e-01  
6.4645e+02  7.3330e+00  1.2604e-01  
6.4682e+02  7.0809e+00  1.2448e-01  
6.4718e+02  7.2283e+00  1.2366e-01  
6.4754e+02  7.3470e+00  1.2478e-01  
6.4791e+02  7.3991e+00  1.2509e-01  
6.4827e+02  7.1633e+00  1.2498e-01  
6.4863e+02  7.6731e+00  1.2839e-01  
6.4900e+02  8.0396e+00  1.3319e-01  
6.4936e+02  9.3671e+00  1.5002e-01  
6.4973e+02  1.0992e+01  1.7541e-01  
6.5009e+02  1.3481e+01  2.2374e-01  
6.5046e+02  1.6608e+01  3.0664e-01  
6.5083e+02  1.7573e+01  3.3987e-01  
6.5119e+02  1.6460e+01  3.0130e-01  
6.5156e+02  1.4372e+01  2.4512e-01  
6.5193e+02  1.2246e+01  1.9655e-01  
6.5229e+02  9.5418e+00  1.5333e-01  
6.5266e+02  8.7454e+00  1.4123e-01  
6.5303e+02  7.7563e+00  1.2969e-01  
6.5340e+02  7.3174e+00  1.2505e-01  
6.5377e+02  7.4288e+00  1.2432e-01  
6.5414e+02  7.3368e+00  1.2427e-01  
6.5450e+02  7.2146e+00  1.2217e-01  
6.5654e+02  7.1156e+00  3.8729e-02  
6.6027e+02  7.0310e+00  3.8335e-02  
6.6403e+02  6.9615e+00  3.8188e-02  
6.6782e+02  6.8419e+00  3.7817e-02  
6.7160e+02  6.9020e+00  4.1500e-02  
6.7414e+02  6.7744e+00  5.2952e-02  
6.7608e+02  6.7177e+00  5.2693e-02  
6.7802e+02  6.8809e+00  5.3192e-02  
6.7997e+02  6.7739e+00  5.2751e-02  
6.8193e+02  6.7590e+00  5.2617e-02  
6.8390e+02  6.6755e+00  5.2348e-02  
6.8588e+02  6.7155e+00  5.2435e-02  
6.8786e+02  6.6645e+00  5.2225e-02  
6.8986e+02  6.6828e+00  5.2386e-02  
6.9186e+02  6.6751e+00  5.2059e-02  
6.9387e+02  6.6119e+00  5.1771e-02  
6.9589e+02  6.6667e+00  5.2088e-02  
6.9792e+02  6.5957e+00  5.2089e-02  
6.9996e+02  6.6157e+00  5.1989e-02  
7.0201e+02  6.4561e+00  5.1252e-02  
7.0406e+02  6.5878e+00  5.1428e-02  
7.0613e+02  6.4813e+00  5.1155e-02  
7.0820e+02  6.4642e+00  5.1155e-02  
7.1028e+02  6.4602e+00  5.1104e-02  
7.1238e+02  6.5547e+00  5.1277e-02  
7.1448e+02  6.5411e+00  5.1203e-02  
7.1659e+02  6.5552e+00  5.1554e-02  
7.1871e+02  6.4882e+00  5.0808e-02  
7.2084e+02  6.4894e+00  5.0924e-02  
